Image,Mask
10_90.tif,10_90_mask.tif
10_91.tif,10_91_mask.tif
10_92.tif,10_92_mask.tif
10_93.tif,10_93_mask.tif
10_94.tif,10_94_mask.tif
10_95.tif,10_95_mask.tif
10_96.tif,10_96_mask.tif
10_97.tif,10_97_mask.tif
10_98.tif,10_98_mask.tif
10_99.tif,10_99_mask.tif
10_9.tif,10_9_mask.tif
11_100.tif,11_100_mask.tif
11_101.tif,11_101_mask.tif
11_102.tif,11_102_mask.tif
11_103.tif,11_103_mask.tif
11_104.tif,11_104_mask.tif
11_105.tif,11_105_mask.tif
11_106.tif,11_106_mask.tif
11_107.tif,11_107_mask.tif
11_108.tif,11_108_mask.tif
11_109.tif,11_109_mask.tif
11_10.tif,11_10_mask.tif
11_110.tif,11_110_mask.tif
11_111.tif,11_111_mask.tif
11_112.tif,11_112_mask.tif
11_113.tif,11_113_mask.tif
11_114.tif,11_114_mask.tif
11_115.tif,11_115_mask.tif
11_116.tif,11_116_mask.tif
11_117.tif,11_117_mask.tif
11_118.tif,11_118_mask.tif
11_119.tif,11_119_mask.tif
11_11.tif,11_11_mask.tif
11_120.tif,11_120_mask.tif
11_12.tif,11_12_mask.tif
11_13.tif,11_13_mask.tif
11_14.tif,11_14_mask.tif
11_15.tif,11_15_mask.tif
11_16.tif,11_16_mask.tif
11_17.tif,11_17_mask.tif
11_18.tif,11_18_mask.tif
11_19.tif,11_19_mask.tif
11_1.tif,11_1_mask.tif
11_20.tif,11_20_mask.tif
11_21.tif,11_21_mask.tif
11_22.tif,11_22_mask.tif
11_23.tif,11_23_mask.tif
11_24.tif,11_24_mask.tif
11_25.tif,11_25_mask.tif
11_26.tif,11_26_mask.tif
11_27.tif,11_27_mask.tif
11_28.tif,11_28_mask.tif
11_29.tif,11_29_mask.tif
11_2.tif,11_2_mask.tif
11_30.tif,11_30_mask.tif
11_31.tif,11_31_mask.tif
11_32.tif,11_32_mask.tif
11_33.tif,11_33_mask.tif
11_34.tif,11_34_mask.tif
11_35.tif,11_35_mask.tif
11_36.tif,11_36_mask.tif
11_37.tif,11_37_mask.tif
11_38.tif,11_38_mask.tif
11_39.tif,11_39_mask.tif
11_3.tif,11_3_mask.tif
11_40.tif,11_40_mask.tif
11_41.tif,11_41_mask.tif
11_42.tif,11_42_mask.tif
11_43.tif,11_43_mask.tif
11_44.tif,11_44_mask.tif
11_45.tif,11_45_mask.tif
11_46.tif,11_46_mask.tif
11_47.tif,11_47_mask.tif
11_48.tif,11_48_mask.tif
11_49.tif,11_49_mask.tif
11_4.tif,11_4_mask.tif
11_50.tif,11_50_mask.tif
11_51.tif,11_51_mask.tif
11_52.tif,11_52_mask.tif
11_53.tif,11_53_mask.tif
11_54.tif,11_54_mask.tif
11_55.tif,11_55_mask.tif
11_56.tif,11_56_mask.tif
11_57.tif,11_57_mask.tif
11_58.tif,11_58_mask.tif
11_59.tif,11_59_mask.tif
11_5.tif,11_5_mask.tif
11_60.tif,11_60_mask.tif
11_61.tif,11_61_mask.tif
11_62.tif,11_62_mask.tif
11_63.tif,11_63_mask.tif
11_64.tif,11_64_mask.tif
11_65.tif,11_65_mask.tif
11_66.tif,11_66_mask.tif
11_67.tif,11_67_mask.tif
11_68.tif,11_68_mask.tif
11_69.tif,11_69_mask.tif
11_6.tif,11_6_mask.tif
11_70.tif,11_70_mask.tif
11_71.tif,11_71_mask.tif
11_72.tif,11_72_mask.tif
11_73.tif,11_73_mask.tif
11_74.tif,11_74_mask.tif
11_75.tif,11_75_mask.tif
11_76.tif,11_76_mask.tif
11_77.tif,11_77_mask.tif
11_78.tif,11_78_mask.tif
11_79.tif,11_79_mask.tif
11_7.tif,11_7_mask.tif
11_80.tif,11_80_mask.tif
11_81.tif,11_81_mask.tif
11_82.tif,11_82_mask.tif
11_83.tif,11_83_mask.tif
11_84.tif,11_84_mask.tif
11_85.tif,11_85_mask.tif
11_86.tif,11_86_mask.tif
11_87.tif,11_87_mask.tif
11_88.tif,11_88_mask.tif
11_89.tif,11_89_mask.tif
11_8.tif,11_8_mask.tif
11_90.tif,11_90_mask.tif
11_91.tif,11_91_mask.tif
11_92.tif,11_92_mask.tif
11_93.tif,11_93_mask.tif
11_94.tif,11_94_mask.tif
11_95.tif,11_95_mask.tif
11_96.tif,11_96_mask.tif
11_97.tif,11_97_mask.tif
11_98.tif,11_98_mask.tif
11_99.tif,11_99_mask.tif
11_9.tif,11_9_mask.tif
12_100.tif,12_100_mask.tif
12_101.tif,12_101_mask.tif
12_102.tif,12_102_mask.tif
12_103.tif,12_103_mask.tif
12_104.tif,12_104_mask.tif
12_105.tif,12_105_mask.tif
12_106.tif,12_106_mask.tif
12_107.tif,12_107_mask.tif
12_108.tif,12_108_mask.tif
12_109.tif,12_109_mask.tif
12_10.tif,12_10_mask.tif
12_110.tif,12_110_mask.tif
12_111.tif,12_111_mask.tif
12_112.tif,12_112_mask.tif
12_113.tif,12_113_mask.tif
12_114.tif,12_114_mask.tif
12_115.tif,12_115_mask.tif
12_116.tif,12_116_mask.tif
12_117.tif,12_117_mask.tif
12_118.tif,12_118_mask.tif
12_119.tif,12_119_mask.tif
12_11.tif,12_11_mask.tif
12_120.tif,12_120_mask.tif
12_12.tif,12_12_mask.tif
12_13.tif,12_13_mask.tif
12_14.tif,12_14_mask.tif
12_15.tif,12_15_mask.tif
12_16.tif,12_16_mask.tif
12_17.tif,12_17_mask.tif
12_18.tif,12_18_mask.tif
12_19.tif,12_19_mask.tif
12_1.tif,12_1_mask.tif
12_20.tif,12_20_mask.tif
12_21.tif,12_21_mask.tif
12_22.tif,12_22_mask.tif
12_23.tif,12_23_mask.tif
12_24.tif,12_24_mask.tif
12_25.tif,12_25_mask.tif
12_26.tif,12_26_mask.tif
12_27.tif,12_27_mask.tif
12_28.tif,12_28_mask.tif
12_29.tif,12_29_mask.tif
12_2.tif,12_2_mask.tif
12_30.tif,12_30_mask.tif
12_31.tif,12_31_mask.tif
12_32.tif,12_32_mask.tif
12_33.tif,12_33_mask.tif
12_34.tif,12_34_mask.tif
12_35.tif,12_35_mask.tif
12_36.tif,12_36_mask.tif
12_37.tif,12_37_mask.tif
12_38.tif,12_38_mask.tif
12_39.tif,12_39_mask.tif
12_3.tif,12_3_mask.tif
12_40.tif,12_40_mask.tif
12_41.tif,12_41_mask.tif
12_42.tif,12_42_mask.tif
12_43.tif,12_43_mask.tif
12_44.tif,12_44_mask.tif
12_45.tif,12_45_mask.tif
12_46.tif,12_46_mask.tif
12_47.tif,12_47_mask.tif
12_48.tif,12_48_mask.tif
12_49.tif,12_49_mask.tif
12_4.tif,12_4_mask.tif
12_50.tif,12_50_mask.tif
12_51.tif,12_51_mask.tif
12_52.tif,12_52_mask.tif
12_53.tif,12_53_mask.tif
12_54.tif,12_54_mask.tif
12_55.tif,12_55_mask.tif
12_56.tif,12_56_mask.tif
12_57.tif,12_57_mask.tif
12_58.tif,12_58_mask.tif
12_59.tif,12_59_mask.tif
12_5.tif,12_5_mask.tif
12_60.tif,12_60_mask.tif
12_61.tif,12_61_mask.tif
12_62.tif,12_62_mask.tif
12_63.tif,12_63_mask.tif
12_64.tif,12_64_mask.tif
12_65.tif,12_65_mask.tif
12_66.tif,12_66_mask.tif
12_67.tif,12_67_mask.tif
12_68.tif,12_68_mask.tif
12_69.tif,12_69_mask.tif
12_6.tif,12_6_mask.tif
12_70.tif,12_70_mask.tif
12_71.tif,12_71_mask.tif
12_72.tif,12_72_mask.tif
12_73.tif,12_73_mask.tif
12_74.tif,12_74_mask.tif
12_75.tif,12_75_mask.tif
12_76.tif,12_76_mask.tif
12_77.tif,12_77_mask.tif
12_78.tif,12_78_mask.tif
12_79.tif,12_79_mask.tif
12_7.tif,12_7_mask.tif
12_80.tif,12_80_mask.tif
12_81.tif,12_81_mask.tif
12_82.tif,12_82_mask.tif
12_83.tif,12_83_mask.tif
12_84.tif,12_84_mask.tif
12_85.tif,12_85_mask.tif
12_86.tif,12_86_mask.tif
12_87.tif,12_87_mask.tif
12_88.tif,12_88_mask.tif
12_89.tif,12_89_mask.tif
12_8.tif,12_8_mask.tif
12_90.tif,12_90_mask.tif
12_91.tif,12_91_mask.tif
12_92.tif,12_92_mask.tif
12_93.tif,12_93_mask.tif
12_94.tif,12_94_mask.tif
12_95.tif,12_95_mask.tif
12_96.tif,12_96_mask.tif
12_97.tif,12_97_mask.tif
12_98.tif,12_98_mask.tif
12_99.tif,12_99_mask.tif
12_9.tif,12_9_mask.tif
13_100.tif,13_100_mask.tif
13_101.tif,13_101_mask.tif
13_102.tif,13_102_mask.tif
13_103.tif,13_103_mask.tif
13_104.tif,13_104_mask.tif
13_105.tif,13_105_mask.tif
13_106.tif,13_106_mask.tif
13_107.tif,13_107_mask.tif
13_108.tif,13_108_mask.tif
13_109.tif,13_109_mask.tif
13_10.tif,13_10_mask.tif
13_110.tif,13_110_mask.tif
13_111.tif,13_111_mask.tif
13_112.tif,13_112_mask.tif
13_113.tif,13_113_mask.tif
13_114.tif,13_114_mask.tif
13_115.tif,13_115_mask.tif
13_116.tif,13_116_mask.tif
13_117.tif,13_117_mask.tif
13_118.tif,13_118_mask.tif
13_119.tif,13_119_mask.tif
13_11.tif,13_11_mask.tif
13_120.tif,13_120_mask.tif
13_12.tif,13_12_mask.tif
13_13.tif,13_13_mask.tif
13_14.tif,13_14_mask.tif
13_15.tif,13_15_mask.tif
13_16.tif,13_16_mask.tif
13_17.tif,13_17_mask.tif
13_18.tif,13_18_mask.tif
13_19.tif,13_19_mask.tif
13_1.tif,13_1_mask.tif
13_20.tif,13_20_mask.tif
13_21.tif,13_21_mask.tif
13_22.tif,13_22_mask.tif
13_23.tif,13_23_mask.tif
13_24.tif,13_24_mask.tif
13_25.tif,13_25_mask.tif
13_26.tif,13_26_mask.tif
13_27.tif,13_27_mask.tif
13_28.tif,13_28_mask.tif
13_29.tif,13_29_mask.tif
13_2.tif,13_2_mask.tif
13_30.tif,13_30_mask.tif
13_31.tif,13_31_mask.tif
13_32.tif,13_32_mask.tif
13_33.tif,13_33_mask.tif
13_34.tif,13_34_mask.tif
13_35.tif,13_35_mask.tif
13_36.tif,13_36_mask.tif
13_37.tif,13_37_mask.tif
13_38.tif,13_38_mask.tif
13_39.tif,13_39_mask.tif
13_3.tif,13_3_mask.tif
13_40.tif,13_40_mask.tif
13_41.tif,13_41_mask.tif
13_42.tif,13_42_mask.tif
13_43.tif,13_43_mask.tif
13_44.tif,13_44_mask.tif
13_45.tif,13_45_mask.tif
13_46.tif,13_46_mask.tif
13_47.tif,13_47_mask.tif
13_48.tif,13_48_mask.tif
13_49.tif,13_49_mask.tif
13_4.tif,13_4_mask.tif
13_50.tif,13_50_mask.tif
13_51.tif,13_51_mask.tif
13_52.tif,13_52_mask.tif
13_53.tif,13_53_mask.tif
13_54.tif,13_54_mask.tif
13_55.tif,13_55_mask.tif
13_56.tif,13_56_mask.tif
13_57.tif,13_57_mask.tif
13_58.tif,13_58_mask.tif
13_59.tif,13_59_mask.tif
13_5.tif,13_5_mask.tif
13_60.tif,13_60_mask.tif
13_61.tif,13_61_mask.tif
13_62.tif,13_62_mask.tif
13_63.tif,13_63_mask.tif
13_64.tif,13_64_mask.tif
13_65.tif,13_65_mask.tif
13_66.tif,13_66_mask.tif
13_67.tif,13_67_mask.tif
13_68.tif,13_68_mask.tif
13_69.tif,13_69_mask.tif
13_6.tif,13_6_mask.tif
13_70.tif,13_70_mask.tif
13_71.tif,13_71_mask.tif
13_72.tif,13_72_mask.tif
13_73.tif,13_73_mask.tif
13_74.tif,13_74_mask.tif
13_75.tif,13_75_mask.tif
13_76.tif,13_76_mask.tif
13_77.tif,13_77_mask.tif
13_78.tif,13_78_mask.tif
13_79.tif,13_79_mask.tif
13_7.tif,13_7_mask.tif
13_80.tif,13_80_mask.tif
13_81.tif,13_81_mask.tif
13_82.tif,13_82_mask.tif
13_83.tif,13_83_mask.tif
13_84.tif,13_84_mask.tif
13_85.tif,13_85_mask.tif
13_86.tif,13_86_mask.tif
13_87.tif,13_87_mask.tif
13_88.tif,13_88_mask.tif
13_89.tif,13_89_mask.tif
13_8.tif,13_8_mask.tif
13_90.tif,13_90_mask.tif
13_91.tif,13_91_mask.tif
13_92.tif,13_92_mask.tif
13_93.tif,13_93_mask.tif
13_94.tif,13_94_mask.tif
13_95.tif,13_95_mask.tif
13_96.tif,13_96_mask.tif
13_97.tif,13_97_mask.tif
13_98.tif,13_98_mask.tif
13_99.tif,13_99_mask.tif
13_9.tif,13_9_mask.tif
14_100.tif,14_100_mask.tif
14_101.tif,14_101_mask.tif
14_102.tif,14_102_mask.tif
14_103.tif,14_103_mask.tif
14_104.tif,14_104_mask.tif
14_105.tif,14_105_mask.tif
14_106.tif,14_106_mask.tif
14_107.tif,14_107_mask.tif
14_108.tif,14_108_mask.tif
14_109.tif,14_109_mask.tif
14_10.tif,14_10_mask.tif
14_110.tif,14_110_mask.tif
14_111.tif,14_111_mask.tif
14_112.tif,14_112_mask.tif
14_113.tif,14_113_mask.tif
14_114.tif,14_114_mask.tif
14_115.tif,14_115_mask.tif
14_116.tif,14_116_mask.tif
14_117.tif,14_117_mask.tif
14_118.tif,14_118_mask.tif
14_119.tif,14_119_mask.tif
14_11.tif,14_11_mask.tif
14_120.tif,14_120_mask.tif
14_12.tif,14_12_mask.tif
14_13.tif,14_13_mask.tif
14_14.tif,14_14_mask.tif
14_15.tif,14_15_mask.tif
14_16.tif,14_16_mask.tif
14_17.tif,14_17_mask.tif
14_18.tif,14_18_mask.tif
14_19.tif,14_19_mask.tif
14_1.tif,14_1_mask.tif
14_20.tif,14_20_mask.tif
14_21.tif,14_21_mask.tif
14_22.tif,14_22_mask.tif
14_23.tif,14_23_mask.tif
14_24.tif,14_24_mask.tif
14_25.tif,14_25_mask.tif
14_26.tif,14_26_mask.tif
14_27.tif,14_27_mask.tif
14_28.tif,14_28_mask.tif
14_29.tif,14_29_mask.tif
14_2.tif,14_2_mask.tif
14_30.tif,14_30_mask.tif
14_31.tif,14_31_mask.tif
14_32.tif,14_32_mask.tif
14_33.tif,14_33_mask.tif
14_34.tif,14_34_mask.tif
14_35.tif,14_35_mask.tif
14_36.tif,14_36_mask.tif
14_37.tif,14_37_mask.tif
14_38.tif,14_38_mask.tif
14_39.tif,14_39_mask.tif
14_3.tif,14_3_mask.tif
14_40.tif,14_40_mask.tif
14_41.tif,14_41_mask.tif
14_42.tif,14_42_mask.tif
14_43.tif,14_43_mask.tif
14_44.tif,14_44_mask.tif
14_45.tif,14_45_mask.tif
14_46.tif,14_46_mask.tif
14_47.tif,14_47_mask.tif
14_48.tif,14_48_mask.tif
14_49.tif,14_49_mask.tif
14_4.tif,14_4_mask.tif
14_50.tif,14_50_mask.tif
14_51.tif,14_51_mask.tif
14_52.tif,14_52_mask.tif
14_53.tif,14_53_mask.tif
14_54.tif,14_54_mask.tif
14_55.tif,14_55_mask.tif
14_56.tif,14_56_mask.tif
14_57.tif,14_57_mask.tif
14_58.tif,14_58_mask.tif
14_59.tif,14_59_mask.tif
14_5.tif,14_5_mask.tif
14_60.tif,14_60_mask.tif
14_61.tif,14_61_mask.tif
14_62.tif,14_62_mask.tif
14_63.tif,14_63_mask.tif
14_64.tif,14_64_mask.tif
14_65.tif,14_65_mask.tif
14_66.tif,14_66_mask.tif
14_67.tif,14_67_mask.tif
14_68.tif,14_68_mask.tif
14_69.tif,14_69_mask.tif
14_6.tif,14_6_mask.tif
14_70.tif,14_70_mask.tif
14_71.tif,14_71_mask.tif
14_72.tif,14_72_mask.tif
14_73.tif,14_73_mask.tif
14_74.tif,14_74_mask.tif
14_75.tif,14_75_mask.tif
14_76.tif,14_76_mask.tif
14_77.tif,14_77_mask.tif
14_78.tif,14_78_mask.tif
14_79.tif,14_79_mask.tif
14_7.tif,14_7_mask.tif
14_80.tif,14_80_mask.tif
14_81.tif,14_81_mask.tif
14_82.tif,14_82_mask.tif
14_83.tif,14_83_mask.tif
14_84.tif,14_84_mask.tif
14_85.tif,14_85_mask.tif
14_86.tif,14_86_mask.tif
14_87.tif,14_87_mask.tif
14_88.tif,14_88_mask.tif
14_89.tif,14_89_mask.tif
14_8.tif,14_8_mask.tif
14_90.tif,14_90_mask.tif
14_91.tif,14_91_mask.tif
14_92.tif,14_92_mask.tif
14_93.tif,14_93_mask.tif
14_94.tif,14_94_mask.tif
14_95.tif,14_95_mask.tif
14_96.tif,14_96_mask.tif
14_97.tif,14_97_mask.tif
14_98.tif,14_98_mask.tif
14_99.tif,14_99_mask.tif
14_9.tif,14_9_mask.tif
15_100.tif,15_100_mask.tif
15_101.tif,15_101_mask.tif
15_102.tif,15_102_mask.tif
15_103.tif,15_103_mask.tif
15_104.tif,15_104_mask.tif
15_105.tif,15_105_mask.tif
15_106.tif,15_106_mask.tif
15_107.tif,15_107_mask.tif
15_108.tif,15_108_mask.tif
15_109.tif,15_109_mask.tif
15_10.tif,15_10_mask.tif
15_110.tif,15_110_mask.tif
15_111.tif,15_111_mask.tif
15_112.tif,15_112_mask.tif
15_113.tif,15_113_mask.tif
15_114.tif,15_114_mask.tif
15_115.tif,15_115_mask.tif
15_116.tif,15_116_mask.tif
15_117.tif,15_117_mask.tif
15_118.tif,15_118_mask.tif
15_119.tif,15_119_mask.tif
15_11.tif,15_11_mask.tif
15_120.tif,15_120_mask.tif
15_12.tif,15_12_mask.tif
15_13.tif,15_13_mask.tif
15_14.tif,15_14_mask.tif
15_15.tif,15_15_mask.tif
15_16.tif,15_16_mask.tif
15_17.tif,15_17_mask.tif
15_18.tif,15_18_mask.tif
15_19.tif,15_19_mask.tif
15_1.tif,15_1_mask.tif
15_20.tif,15_20_mask.tif
15_21.tif,15_21_mask.tif
15_22.tif,15_22_mask.tif
15_23.tif,15_23_mask.tif
15_24.tif,15_24_mask.tif
15_25.tif,15_25_mask.tif
15_26.tif,15_26_mask.tif
15_27.tif,15_27_mask.tif
15_28.tif,15_28_mask.tif
15_29.tif,15_29_mask.tif
15_2.tif,15_2_mask.tif
15_30.tif,15_30_mask.tif
15_31.tif,15_31_mask.tif
15_32.tif,15_32_mask.tif
15_33.tif,15_33_mask.tif
15_34.tif,15_34_mask.tif
15_35.tif,15_35_mask.tif
15_36.tif,15_36_mask.tif
15_37.tif,15_37_mask.tif
15_38.tif,15_38_mask.tif
15_39.tif,15_39_mask.tif
15_3.tif,15_3_mask.tif
15_40.tif,15_40_mask.tif
15_41.tif,15_41_mask.tif
15_42.tif,15_42_mask.tif
15_43.tif,15_43_mask.tif
15_44.tif,15_44_mask.tif
15_45.tif,15_45_mask.tif
15_46.tif,15_46_mask.tif
15_47.tif,15_47_mask.tif
15_48.tif,15_48_mask.tif
15_49.tif,15_49_mask.tif
15_4.tif,15_4_mask.tif
15_50.tif,15_50_mask.tif
15_51.tif,15_51_mask.tif
15_52.tif,15_52_mask.tif
15_53.tif,15_53_mask.tif
15_54.tif,15_54_mask.tif
15_55.tif,15_55_mask.tif
15_56.tif,15_56_mask.tif
15_57.tif,15_57_mask.tif
15_58.tif,15_58_mask.tif
15_59.tif,15_59_mask.tif
15_5.tif,15_5_mask.tif
15_60.tif,15_60_mask.tif
15_61.tif,15_61_mask.tif
15_62.tif,15_62_mask.tif
15_63.tif,15_63_mask.tif
15_64.tif,15_64_mask.tif
15_65.tif,15_65_mask.tif
15_66.tif,15_66_mask.tif
15_67.tif,15_67_mask.tif
15_68.tif,15_68_mask.tif
15_69.tif,15_69_mask.tif
15_6.tif,15_6_mask.tif
15_70.tif,15_70_mask.tif
15_71.tif,15_71_mask.tif
15_72.tif,15_72_mask.tif
15_73.tif,15_73_mask.tif
15_74.tif,15_74_mask.tif
15_75.tif,15_75_mask.tif
15_76.tif,15_76_mask.tif
15_77.tif,15_77_mask.tif
15_78.tif,15_78_mask.tif
15_79.tif,15_79_mask.tif
15_7.tif,15_7_mask.tif
15_80.tif,15_80_mask.tif
15_81.tif,15_81_mask.tif
15_82.tif,15_82_mask.tif
15_83.tif,15_83_mask.tif
15_84.tif,15_84_mask.tif
15_85.tif,15_85_mask.tif
15_86.tif,15_86_mask.tif
15_87.tif,15_87_mask.tif
15_88.tif,15_88_mask.tif
15_89.tif,15_89_mask.tif
15_8.tif,15_8_mask.tif
15_90.tif,15_90_mask.tif
15_91.tif,15_91_mask.tif
15_92.tif,15_92_mask.tif
15_93.tif,15_93_mask.tif
15_94.tif,15_94_mask.tif
15_95.tif,15_95_mask.tif
15_96.tif,15_96_mask.tif
15_97.tif,15_97_mask.tif
15_98.tif,15_98_mask.tif
15_99.tif,15_99_mask.tif
15_9.tif,15_9_mask.tif
16_100.tif,16_100_mask.tif
16_101.tif,16_101_mask.tif
16_102.tif,16_102_mask.tif
16_103.tif,16_103_mask.tif
16_104.tif,16_104_mask.tif
16_105.tif,16_105_mask.tif
16_106.tif,16_106_mask.tif
16_107.tif,16_107_mask.tif
16_108.tif,16_108_mask.tif
16_109.tif,16_109_mask.tif
16_10.tif,16_10_mask.tif
16_110.tif,16_110_mask.tif
16_111.tif,16_111_mask.tif
16_112.tif,16_112_mask.tif
16_113.tif,16_113_mask.tif
16_114.tif,16_114_mask.tif
16_115.tif,16_115_mask.tif
16_116.tif,16_116_mask.tif
16_117.tif,16_117_mask.tif
16_118.tif,16_118_mask.tif
16_119.tif,16_119_mask.tif
16_11.tif,16_11_mask.tif
16_120.tif,16_120_mask.tif
16_12.tif,16_12_mask.tif
16_13.tif,16_13_mask.tif
16_14.tif,16_14_mask.tif
16_15.tif,16_15_mask.tif
16_16.tif,16_16_mask.tif
16_17.tif,16_17_mask.tif
16_18.tif,16_18_mask.tif
16_19.tif,16_19_mask.tif
16_1.tif,16_1_mask.tif
16_20.tif,16_20_mask.tif
16_21.tif,16_21_mask.tif
16_22.tif,16_22_mask.tif
16_23.tif,16_23_mask.tif
16_24.tif,16_24_mask.tif
16_25.tif,16_25_mask.tif
16_26.tif,16_26_mask.tif
16_27.tif,16_27_mask.tif
16_28.tif,16_28_mask.tif
16_29.tif,16_29_mask.tif
16_2.tif,16_2_mask.tif
16_30.tif,16_30_mask.tif
16_31.tif,16_31_mask.tif
16_32.tif,16_32_mask.tif
16_33.tif,16_33_mask.tif
16_34.tif,16_34_mask.tif
16_35.tif,16_35_mask.tif
16_36.tif,16_36_mask.tif
16_37.tif,16_37_mask.tif
16_38.tif,16_38_mask.tif
16_39.tif,16_39_mask.tif
16_3.tif,16_3_mask.tif
16_40.tif,16_40_mask.tif
16_41.tif,16_41_mask.tif
16_42.tif,16_42_mask.tif
16_43.tif,16_43_mask.tif
16_44.tif,16_44_mask.tif
16_45.tif,16_45_mask.tif
16_46.tif,16_46_mask.tif
16_47.tif,16_47_mask.tif
16_48.tif,16_48_mask.tif
16_49.tif,16_49_mask.tif
16_4.tif,16_4_mask.tif
16_50.tif,16_50_mask.tif
16_51.tif,16_51_mask.tif
16_52.tif,16_52_mask.tif
16_53.tif,16_53_mask.tif
16_54.tif,16_54_mask.tif
16_55.tif,16_55_mask.tif
16_56.tif,16_56_mask.tif
16_57.tif,16_57_mask.tif
16_58.tif,16_58_mask.tif
16_59.tif,16_59_mask.tif
16_5.tif,16_5_mask.tif
16_60.tif,16_60_mask.tif
16_61.tif,16_61_mask.tif
16_62.tif,16_62_mask.tif
16_63.tif,16_63_mask.tif
16_64.tif,16_64_mask.tif
16_65.tif,16_65_mask.tif
16_66.tif,16_66_mask.tif
16_67.tif,16_67_mask.tif
16_68.tif,16_68_mask.tif
16_69.tif,16_69_mask.tif
16_6.tif,16_6_mask.tif
16_70.tif,16_70_mask.tif
16_71.tif,16_71_mask.tif
16_72.tif,16_72_mask.tif
16_73.tif,16_73_mask.tif
16_74.tif,16_74_mask.tif
16_75.tif,16_75_mask.tif
16_76.tif,16_76_mask.tif
16_77.tif,16_77_mask.tif
16_78.tif,16_78_mask.tif
16_79.tif,16_79_mask.tif
16_7.tif,16_7_mask.tif
16_80.tif,16_80_mask.tif
16_81.tif,16_81_mask.tif
16_82.tif,16_82_mask.tif
16_83.tif,16_83_mask.tif
